,Aruba,Afghanistan,Angola,Anguilla,Åland,Albania,Andorra,United Arab Emirates,Argentina,Armenia
Aruba,NA,272544.211519049,283848.437977523,1580.82273744121,329.256398303554,36636.8254405959,1247.12523647682,48810.0401586218,893965.82104911,30454.1747522205
Afghanistan,272544.211519049,NA,107666550.666077,37335.1291952873,190093.098940073,22697732.3680154,481939.559167171,109258636.616901,92605293.2015454,44241330.4867813
Angola,283848.437977523,107666550.666077,NA,38402.2290309414,83487.600660156,13038283.4117526,353466.177445731,23880311.5184516,137714909.175695,11952726.3767853
Anguilla,1580.82273744121,37335.1291952873,38402.2290309414,NA,46.7499788209594,5216.51326098913,181.973698331274,6713.12051158342,103563.011259386,4241.94298239142
Åland,329.256398303554,190093.098940073,83487.600660156,46.7499788209594,NA,37801.1982006204,966.131935674999,31305.5018135027,89604.3343216732,28790.6756003302
Albania,36636.8254405959,22697732.3680154,13038283.4117526,5216.51326098913,37801.1982006204,NA,170054.626383238,4567967.26958742,11238000.3491132,4434746.86306107
Andorra,1247.12523647682,481939.559167171,353466.177445731,181.973698331274,966.131935674999,170054.626383238,NA,92224.0512149947,352027.159924611,73499.7349551867
United Arab Emirates,48810.0401586218,109258636.616901,23880311.5184516,6713.12051158342,31305.5018135027,4567967.26958742,92224.0512149947,NA,17867851.2610197,8879711.93750275
Argentina,893965.82104911,92605293.2015454,137714909.175695,103563.011259386,89604.3343216732,11238000.3491132,352027.159924611,17867851.2610197,NA,9889322.14210372
Armenia,30454.1747522205,44241330.4867813,11952726.3767853,4241.94298239142,28790.6756003302,4434746.86306107,73499.7349551867,8879711.93750275,9889322.14210372,NA
