date,cases
01/05/2018,6
02/05/2018,6
03/05/2018,14
04/05/2018,21
05/05/2018,30
06/05/2018,37
07/05/2018,38
08/05/2018,38
09/05/2018,38
10/05/2018,38
11/05/2018,38
12/05/2018,38
13/05/2018,38
14/05/2018,38
15/05/2018,43
16/05/2018,58
17/05/2018,76
18/05/2018,109
19/05/2018,136
20/05/2018,149
21/05/2018,151
22/05/2018,153
23/05/2018,154
24/05/2018,154
25/05/2018,154
26/05/2018,154
27/05/2018,154
28/05/2018,157
29/05/2018,189
30/05/2018,207
31/05/2018,226
01/06/2018,313
02/06/2018,377
03/06/2018,424
04/06/2018,360.7516004
05/06/2018,400.7707764
06/06/2018,445.2293906
07/06/2018,494.6199223
08/06/2018,549.4894827
09/06/2018,610.4458757
10/06/2018,678.1643305
11/06/2018,753.3949814
12/06/2018,836.9711771
13/06/2018,929.8187121
14/06/2018,1032.966082
15/06/2018,1147.555875
16/06/2018,1274.857433
17/06/2018,1416.280905
18/06/2018,1573.392876
19/06/2018,1747.933713
20/06/2018,1941.83685
21/06/2018,2157.2502
22/06/2018,2396.55995
23/06/2018,2662.416995
24/06/2018,2957.7663
25/06/2018,3285.879522
26/06/2018,3650.391255
27/06/2018,4055.339285
28/06/2018,4505.209325
29/06/2018,5004.984696
30/06/2018,5560.201535
