Country,Date,incid
Guinea,2014-01-01,2
Guinea,2014-01-02,0
Guinea,2014-01-03,0
Guinea,2014-01-04,0
Guinea,2014-01-05,0
Guinea,2014-01-06,2
Guinea,2014-01-07,0
Guinea,2014-01-08,0
Guinea,2014-01-09,0
Guinea,2014-01-10,0
Guinea,2014-01-11,1
Guinea,2014-01-12,0
Guinea,2014-01-13,0
Guinea,2014-01-14,0
Guinea,2014-01-15,1
Guinea,2014-01-16,0
Guinea,2014-01-17,0
Guinea,2014-01-18,0
Guinea,2014-01-19,0
Guinea,2014-01-20,1
Guinea,2014-01-21,0
Guinea,2014-01-22,0
Guinea,2014-01-23,0
Guinea,2014-01-24,0
Guinea,2014-01-25,1
Guinea,2014-01-26,0
Guinea,2014-01-27,0
Guinea,2014-01-28,0
Guinea,2014-01-29,1
Guinea,2014-01-30,0
Guinea,2014-01-31,0
Guinea,2014-02-01,1
Guinea,2014-02-02,1
Guinea,2014-02-03,2
Guinea,2014-02-04,2
Guinea,2014-02-05,0
Guinea,2014-02-06,0
Guinea,2014-02-07,1
Guinea,2014-02-08,0
Guinea,2014-02-09,1
Guinea,2014-02-10,0
Guinea,2014-02-11,1
Guinea,2014-02-12,0
Guinea,2014-02-13,0
Guinea,2014-02-14,0
Guinea,2014-02-15,0
Guinea,2014-02-16,1
Guinea,2014-02-17,1
Guinea,2014-02-18,1
Guinea,2014-02-19,1
Guinea,2014-02-20,0
Guinea,2014-02-21,2
Guinea,2014-02-22,0
Guinea,2014-02-23,1
Guinea,2014-02-24,2
Guinea,2014-02-25,2
Guinea,2014-02-26,0
Guinea,2014-02-27,2
Guinea,2014-02-28,0
Guinea,2014-03-01,10
Guinea,2014-03-02,2
Guinea,2014-03-03,2
Guinea,2014-03-04,0
Guinea,2014-03-05,1
Guinea,2014-03-06,1
Guinea,2014-03-07,4
Guinea,2014-03-08,1
Guinea,2014-03-09,1
Guinea,2014-03-10,3
Guinea,2014-03-11,3
Guinea,2014-03-12,10
Guinea,2014-03-13,4
Guinea,2014-03-14,4
Guinea,2014-03-15,4
Guinea,2014-03-16,3
Guinea,2014-03-17,1
Guinea,2014-03-18,1
Guinea,2014-03-19,3
Guinea,2014-03-20,5
Guinea,2014-03-21,4
Guinea,2014-03-22,6
Guinea,2014-03-23,4
Guinea,2014-03-24,6
Guinea,2014-03-25,6
Guinea,2014-03-26,3
Guinea,2014-03-27,3
Guinea,2014-03-28,2
Guinea,2014-03-29,5
Guinea,2014-03-30,8
Guinea,2014-03-31,0
Guinea,2014-04-01,3
Guinea,2014-04-02,1
Guinea,2014-04-03,3
Guinea,2014-04-04,0
Guinea,2014-04-05,1
Guinea,2014-04-06,6
Guinea,2014-04-07,4
Guinea,2014-04-08,9
Guinea,2014-04-09,7
Guinea,2014-04-10,5
Guinea,2014-04-11,2
Guinea,2014-04-12,2
Guinea,2014-04-13,2
Guinea,2014-04-14,3
Guinea,2014-04-15,2
Guinea,2014-04-16,0
Guinea,2014-04-17,2
Guinea,2014-04-18,4
Guinea,2014-04-19,1
Guinea,2014-04-20,0
Guinea,2014-04-21,1
Guinea,2014-04-22,2
Guinea,2014-04-23,2
Guinea,2014-04-24,1
Guinea,2014-04-25,0
Guinea,2014-04-26,3
Guinea,2014-04-27,1
Guinea,2014-04-28,0
Guinea,2014-04-29,0
Guinea,2014-04-30,0
Guinea,2014-05-01,1
Guinea,2014-05-02,4
Guinea,2014-05-03,3
Guinea,2014-05-04,1
Guinea,2014-05-05,4
Guinea,2014-05-06,2
Guinea,2014-05-07,2
Guinea,2014-05-08,4
Guinea,2014-05-09,1
Guinea,2014-05-10,2
Guinea,2014-05-11,2
Guinea,2014-05-12,1
Guinea,2014-05-13,0
Guinea,2014-05-14,3
Guinea,2014-05-15,6
Guinea,2014-05-16,3
Guinea,2014-05-17,1
Guinea,2014-05-18,6
Guinea,2014-05-19,6
