Date,Guinea,Liberia,Sierra Leone
2013-12-26,0,0,2
2013-12-27,0,0,0
2013-12-28,0,0,0
2013-12-29,0,0,0
2013-12-30,0,0,0
2013-12-31,0,0,0
2014-01-01,2,0,2
2014-01-02,0,0,0
2014-01-03,0,0,0
2014-01-04,0,0,0
2014-01-05,0,0,0
2014-01-06,2,0,0
2014-01-07,0,0,0
2014-01-08,0,0,0
2014-01-09,0,0,0
2014-01-10,0,0,0
2014-01-11,1,0,0
2014-01-12,0,0,0
2014-01-13,0,0,0
2014-01-14,0,0,0
2014-01-15,1,0,0
2014-01-16,0,0,0
2014-01-17,0,0,0
2014-01-18,0,0,0
2014-01-19,0,0,0
2014-01-20,1,0,0
2014-01-21,0,0,0
2014-01-22,0,0,0
2014-01-23,0,0,0
2014-01-24,0,0,0
2014-01-25,1,0,0
2014-01-26,0,0,1
2014-01-27,0,0,0
2014-01-28,0,0,0
2014-01-29,1,0,0
2014-01-30,0,0,0
2014-01-31,0,0,0
2014-02-01,1,0,0
2014-02-02,1,0,0
2014-02-03,2,0,0
2014-02-04,2,0,0
2014-02-05,0,0,0
2014-02-06,0,0,0
2014-02-07,1,0,0
2014-02-08,0,0,0
2014-02-09,1,0,0
2014-02-10,0,0,0
2014-02-11,1,0,0
2014-02-12,0,0,0
2014-02-13,0,0,0
2014-02-14,0,0,0
2014-02-15,0,0,1
2014-02-16,1,0,0
2014-02-17,1,0,0
2014-02-18,1,0,0
2014-02-19,1,0,0
2014-02-20,0,0,0
2014-02-21,2,0,0
2014-02-22,0,0,0
2014-02-23,1,1,0
2014-02-24,2,1,0
2014-02-25,2,0,0
2014-02-26,0,0,0
2014-02-27,2,0,0
2014-02-28,0,1,1
2014-03-01,10,1,1
2014-03-02,2,0,0
2014-03-03,2,1,2
2014-03-04,0,0,0
2014-03-05,1,0,0
2014-03-06,1,0,0
2014-03-07,4,0,0
2014-03-08,1,0,0
2014-03-09,1,0,0
2014-03-10,3,0,0
2014-03-11,3,1,0
2014-03-12,10,0,0
2014-03-13,4,1,0
2014-03-14,4,0,0
2014-03-15,4,0,0
2014-03-16,3,0,0
2014-03-17,1,1,0
2014-03-18,1,2,0
2014-03-19,3,0,0
2014-03-20,5,0,1
2014-03-21,4,0,0
2014-03-22,6,0,0
2014-03-23,4,1,0
2014-03-24,6,0,0
2014-03-25,6,1,0
2014-03-26,3,0,1
2014-03-27,3,0,0
2014-03-28,2,3,0
2014-03-29,5,1,0
2014-03-30,8,3,0
2014-03-31,0,1,0
2014-04-01,3,2,0
2014-04-02,1,1,0
