Country,CL_DistrictRes,Date,incid
Guinea,BEYLA,2014-08-16,1
Guinea,BEYLA,2014-08-17,0
Guinea,BEYLA,2014-08-18,0
Guinea,BEYLA,2014-08-19,0
Guinea,BEYLA,2014-08-20,0
Guinea,BEYLA,2014-08-21,0
Guinea,BEYLA,2014-08-22,0
Guinea,BEYLA,2014-08-23,0
Guinea,BEYLA,2014-08-24,0
Guinea,BEYLA,2014-08-25,0
Guinea,BEYLA,2014-08-26,0
Guinea,BEYLA,2014-08-27,0
Guinea,BEYLA,2014-08-28,0
Guinea,BEYLA,2014-08-29,0
Guinea,BEYLA,2014-08-30,0
Guinea,BEYLA,2014-08-31,0
Guinea,BEYLA,2014-09-01,0
Guinea,BEYLA,2014-09-02,0
Guinea,BEYLA,2014-09-03,0
Guinea,BEYLA,2014-09-04,0
Guinea,BEYLA,2014-09-05,0
Guinea,BEYLA,2014-09-06,0
Guinea,BEYLA,2014-09-07,0
Guinea,BEYLA,2014-09-08,1
Guinea,BEYLA,2014-09-09,0
Guinea,BEYLA,2014-09-10,0
Guinea,BEYLA,2014-09-11,0
Guinea,BEYLA,2014-09-12,1
Guinea,BEYLA,2014-09-13,0
Guinea,BEYLA,2014-09-14,0
Guinea,BEYLA,2014-09-15,0
Guinea,BEYLA,2014-09-16,0
Guinea,BEYLA,2014-09-17,0
Guinea,BEYLA,2014-09-18,1
Guinea,BEYLA,2014-09-19,0
Guinea,BEYLA,2014-09-20,0
Guinea,BEYLA,2014-09-21,0
Guinea,BEYLA,2014-09-22,0
Guinea,BEYLA,2014-09-23,0
Guinea,BEYLA,2014-09-24,0
Guinea,BEYLA,2014-09-25,1
Guinea,BEYLA,2014-09-26,0
Guinea,BEYLA,2014-09-27,0
Guinea,BEYLA,2014-09-28,0
Guinea,BEYLA,2014-09-29,0
Guinea,BEYLA,2014-09-30,0
Guinea,BEYLA,2014-10-01,2
Guinea,BEYLA,2014-10-02,0
Guinea,BEYLA,2014-10-03,1
Guinea,BEYLA,2014-10-04,0
Guinea,BEYLA,2014-10-05,0
Guinea,BEYLA,2014-10-06,2
Guinea,BEYLA,2014-10-07,0
Guinea,BEYLA,2014-10-08,0
Guinea,BEYLA,2014-10-09,0
Guinea,BEYLA,2014-10-10,0
Guinea,BEYLA,2014-10-11,0
Guinea,BEYLA,2014-10-12,0
Guinea,BEYLA,2014-10-13,0
Guinea,BEYLA,2014-10-14,0
Guinea,BEYLA,2014-10-15,2
Guinea,BEYLA,2014-10-16,0
Guinea,BEYLA,2014-10-17,0
Guinea,BEYLA,2014-10-18,0
Guinea,BEYLA,2014-10-19,1
Guinea,BEYLA,2014-10-20,1
Guinea,BEYLA,2014-10-21,1
Guinea,BEYLA,2014-10-22,0
Guinea,BEYLA,2014-10-23,0
Guinea,BEYLA,2014-10-24,1
Guinea,BEYLA,2014-10-25,0
Guinea,BEYLA,2014-10-26,0
Guinea,BEYLA,2014-10-27,0
Guinea,BEYLA,2014-10-28,0
Guinea,BEYLA,2014-10-29,1
Guinea,BEYLA,2014-10-30,0
Guinea,BEYLA,2014-10-31,0
Guinea,BEYLA,2014-11-01,0
Guinea,BEYLA,2014-11-02,5
Guinea,BEYLA,2014-11-03,2
Guinea,BEYLA,2014-11-04,3
Guinea,BEYLA,2014-11-05,2
Guinea,BEYLA,2014-11-06,1
Guinea,BEYLA,2014-11-07,1
Guinea,BEYLA,2014-11-08,3
Guinea,BEYLA,2014-11-09,1
Guinea,BEYLA,2014-11-10,0
Guinea,BEYLA,2014-11-11,0
Guinea,BEYLA,2014-11-12,0
Guinea,BEYLA,2014-11-13,0
Guinea,BEYLA,2014-11-14,0
Guinea,BEYLA,2014-11-15,3
Guinea,BEYLA,2014-11-16,0
Guinea,BEYLA,2014-11-17,3
Guinea,BEYLA,2014-11-18,0
Guinea,BEYLA,2014-11-19,0
Guinea,BEYLA,2014-11-20,0
Guinea,BEYLA,2014-11-21,0
Guinea,BEYLA,2014-11-22,0
Guinea,BEYLA,2014-11-23,0
Guinea,BEYLA,2014-11-24,0
Guinea,BEYLA,2014-11-25,0
Guinea,BEYLA,2014-11-26,0
Guinea,BEYLA,2014-11-27,0
Guinea,BEYLA,2014-11-28,1
Guinea,BEYLA,2014-11-29,0
Guinea,BEYLA,2014-11-30,0
Guinea,BEYLA,2014-12-01,0
Guinea,BEYLA,2014-12-02,0
Guinea,BEYLA,2014-12-03,0
Guinea,BEYLA,2014-12-04,0
Guinea,BEYLA,2014-12-05,0
Guinea,BEYLA,2014-12-06,0
Guinea,BEYLA,2014-12-07,0
Guinea,BEYLA,2014-12-08,0
Guinea,BEYLA,2014-12-09,0
Guinea,BEYLA,2014-12-10,2
