Date,district,incid
2013-12-26,BO,0
2014-01-02,BO,0
2014-01-09,BO,0
2014-01-16,BO,0
2014-01-23,BO,0
2014-01-30,BO,0
2014-02-06,BO,0
2014-02-13,BO,0
2014-02-20,BO,0
2014-02-27,BO,0
2014-03-06,BO,0
2014-03-13,BO,0
2014-03-20,BO,0
2014-03-27,BO,0
2014-04-03,BO,0
2014-04-10,BO,0
2014-04-17,BO,0
2014-04-24,BO,0
2014-05-01,BO,0
2014-05-08,BO,0
2014-05-15,BO,0
2014-05-22,BO,0
2014-05-29,BO,0
2014-06-05,BO,0
2014-06-12,BO,0
2014-06-19,BO,1
2014-06-26,BO,1
2014-07-03,BO,5
2014-07-10,BO,3
2014-07-17,BO,8
2014-07-24,BO,8
2014-07-31,BO,11
2014-08-07,BO,8
2014-08-14,BO,13
2014-08-21,BO,23
2014-08-28,BO,20
2014-09-04,BO,11
2014-09-11,BO,9
2014-09-18,BO,19
2014-09-25,BO,21
2014-10-02,BO,19
2014-10-09,BO,23
2014-10-16,BO,18
2014-10-23,BO,21
2014-10-30,BO,15
2014-11-06,BO,32
2014-11-13,BO,22
2014-11-20,BO,18
2014-11-27,BO,23
2014-12-04,BO,36
2014-12-11,BO,16
2014-12-18,BO,20
2014-12-25,BO,14
2015-01-01,BO,11
2015-01-08,BO,9
2015-01-15,BO,6
2015-01-22,BO,3
2015-01-29,BO,1
2015-02-05,BO,2
2015-02-12,BO,1
2015-02-19,BO,2
2015-02-26,BO,2
2015-03-05,BO,4
2015-03-12,BO,1
2015-03-19,BO,4
2015-03-26,BO,5
2015-04-02,BO,3
2015-04-09,BO,4
2015-04-16,BO,11
2015-04-23,BO,5
2015-04-30,BO,4
2015-05-07,BO,6
2015-05-14,BO,12
2015-05-21,BO,8
2015-05-28,BO,18
2015-06-04,BO,33
2015-06-11,BO,21
2015-06-18,BO,41
2015-06-25,BO,17
2015-07-02,BO,3
2015-07-09,BO,9
2015-07-16,BO,15
2015-07-23,BO,19
2015-07-30,BO,10
2015-08-06,BO,18
2015-08-13,BO,15
2013-12-26,BOMBALI,0
2014-01-02,BOMBALI,0
2014-01-09,BOMBALI,0
2014-01-16,BOMBALI,0
2014-01-23,BOMBALI,0
2014-01-30,BOMBALI,0
2014-02-06,BOMBALI,0
2014-02-13,BOMBALI,0
2014-02-20,BOMBALI,0
2014-02-27,BOMBALI,0
2014-03-06,BOMBALI,0
2014-03-13,BOMBALI,0
2014-03-20,BOMBALI,0
2014-03-27,BOMBALI,0
2014-04-03,BOMBALI,0
2014-04-10,BOMBALI,0
2014-04-17,BOMBALI,0
2014-04-24,BOMBALI,0
2014-05-01,BOMBALI,0
2014-05-08,BOMBALI,0
2014-05-15,BOMBALI,0
2014-05-22,BOMBALI,0
2014-05-29,BOMBALI,0
2014-06-05,BOMBALI,1
2014-06-12,BOMBALI,0
2014-06-19,BOMBALI,0
2014-06-26,BOMBALI,1
2014-07-03,BOMBALI,1
2014-07-10,BOMBALI,0
2014-07-17,BOMBALI,4
2014-07-24,BOMBALI,2
2014-07-31,BOMBALI,2
2014-08-07,BOMBALI,2
2014-08-14,BOMBALI,13
2014-08-21,BOMBALI,20
2014-08-28,BOMBALI,26
2014-09-04,BOMBALI,41
2014-09-11,BOMBALI,78
2014-09-18,BOMBALI,79
2014-09-25,BOMBALI,82
2014-10-02,BOMBALI,76
2014-10-09,BOMBALI,53
2014-10-16,BOMBALI,78
2014-10-23,BOMBALI,73
2014-10-30,BOMBALI,50
2014-11-06,BOMBALI,58
2014-11-13,BOMBALI,68
2014-11-20,BOMBALI,72
2014-11-27,BOMBALI,32
2014-12-04,BOMBALI,20
2014-12-11,BOMBALI,15
2014-12-18,BOMBALI,19
2014-12-25,BOMBALI,14
2015-01-01,BOMBALI,6
2015-01-08,BOMBALI,12
2015-01-15,BOMBALI,8
2015-01-22,BOMBALI,5
2015-01-29,BOMBALI,4
2015-02-05,BOMBALI,2
2015-02-12,BOMBALI,14
2015-02-19,BOMBALI,22
2015-02-26,BOMBALI,10
2015-03-05,BOMBALI,10
2015-03-12,BOMBALI,0
2015-03-19,BOMBALI,1
2015-03-26,BOMBALI,0
2015-04-02,BOMBALI,0
2015-04-09,BOMBALI,0
2015-04-16,BOMBALI,0
2015-04-23,BOMBALI,1
2015-04-30,BOMBALI,0
2015-05-07,BOMBALI,0
2015-05-14,BOMBALI,1
2015-05-21,BOMBALI,0
2015-05-28,BOMBALI,0
2015-06-04,BOMBALI,2
2015-06-11,BOMBALI,0
2015-06-18,BOMBALI,0
2015-06-25,BOMBALI,0
2015-07-02,BOMBALI,0
2015-07-09,BOMBALI,0
2015-07-16,BOMBALI,0
2015-07-23,BOMBALI,0
2015-07-30,BOMBALI,0
2015-08-06,BOMBALI,0
2015-08-13,BOMBALI,0
2013-12-26,BONTHE,0
2014-01-02,BONTHE,0
2014-01-09,BONTHE,0
2014-01-16,BONTHE,0
2014-01-23,BONTHE,0
2014-01-30,BONTHE,0
2014-02-06,BONTHE,0
2014-02-13,BONTHE,0
2014-02-20,BONTHE,0
2014-02-27,BONTHE,0
2014-03-06,BONTHE,0
2014-03-13,BONTHE,0
2014-03-20,BONTHE,0
2014-03-27,BONTHE,0
2014-04-03,BONTHE,0
2014-04-10,BONTHE,0
2014-04-17,BONTHE,0
2014-04-24,BONTHE,0
2014-05-01,BONTHE,0
2014-05-08,BONTHE,0
2014-05-15,BONTHE,0
2014-05-22,BONTHE,0
2014-05-29,BONTHE,0
2014-06-05,BONTHE,0
2014-06-12,BONTHE,0
2014-06-19,BONTHE,0
2014-06-26,BONTHE,0
2014-07-03,BONTHE,0
2014-07-10,BONTHE,0
2014-07-17,BONTHE,1
2014-07-24,BONTHE,0
2014-07-31,BONTHE,0
2014-08-07,BONTHE,0
2014-08-14,BONTHE,0
2014-08-21,BONTHE,0
2014-08-28,BONTHE,1
2014-09-04,BONTHE,0
2014-09-11,BONTHE,0
2014-09-18,BONTHE,0
2014-09-25,BONTHE,0
2014-10-02,BONTHE,0
2014-10-09,BONTHE,1
2014-10-16,BONTHE,0
2014-10-23,BONTHE,0
2014-10-30,BONTHE,0
2014-11-06,BONTHE,0
2014-11-13,BONTHE,0
2014-11-20,BONTHE,0
2014-11-27,BONTHE,0
2014-12-04,BONTHE,0
2014-12-11,BONTHE,0
2014-12-18,BONTHE,0
2014-12-25,BONTHE,0
2015-01-01,BONTHE,0
2015-01-08,BONTHE,1
2015-01-15,BONTHE,0
2015-01-22,BONTHE,0
2015-01-29,BONTHE,0
2015-02-05,BONTHE,0
2015-02-12,BONTHE,0
2015-02-19,BONTHE,0
2015-02-26,BONTHE,0
2015-03-05,BONTHE,0
2015-03-12,BONTHE,0
2015-03-19,BONTHE,0
2015-03-26,BONTHE,0
2015-04-02,BONTHE,0
2015-04-09,BONTHE,0
2015-04-16,BONTHE,1
2015-04-23,BONTHE,0
2015-04-30,BONTHE,0
2015-05-07,BONTHE,0
2015-05-14,BONTHE,0
2015-05-21,BONTHE,0
2015-05-28,BONTHE,0
2015-06-04,BONTHE,0
2015-06-11,BONTHE,0
2015-06-18,BONTHE,0
2015-06-25,BONTHE,0
2015-07-02,BONTHE,1
2015-07-09,BONTHE,0
2015-07-16,BONTHE,0
2015-07-23,BONTHE,0
2015-07-30,BONTHE,0
2015-08-06,BONTHE,0
2015-08-13,BONTHE,0
2013-12-26,KAILAHUN,0
2014-01-02,KAILAHUN,0
2014-01-09,KAILAHUN,0
2014-01-16,KAILAHUN,0
