week_of_year,BO,BOMBALI,BONTHE,KAILAHUN,KAMBIA,KENEMA,KOINADUGU,KONO,MOYAMBA,PORTLOKO,PUJEHUN,TONKOLILI,WESTERN
2014-W01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W02,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W03,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W04,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W05,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W06,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W07,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W08,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W09,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W10,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W11,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W12,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W13,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W14,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W15,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W16,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W17,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W18,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W19,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W20,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W21,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W22,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W23,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W24,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W25,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W26,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W27,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W28,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W29,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W30,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W31,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W32,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W33,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W34,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W35,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W36,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W37,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-W38,1,35,0,23,7,8,0,3,24,44,3,24,82
2014-W39,20,79,0,0,4,10,0,0,13,83,6,18,117
2014-W40,16,52,0,3,7,5,0,7,13,53,5,26,128
2014-W41,18,94,0,3,4,13,0,6,9,55,0,27,142
2014-W42,21,72,1,11,2,26,2,3,10,46,1,21,170
2014-W43,14,59,0,6,4,13,11,4,8,56,1,38,194
2014-W44,15,90,0,4,16,10,10,1,3,69,2,30,190
2014-W45,12,69,0,3,6,0,25,7,41,56,0,56,146
2014-W46,33,52,1,1,5,0,25,12,10,95,0,29,270
2014-W47,14,54,0,2,5,1,5,16,10,72,2,31,173
2014-W48,23,66,0,1,14,0,6,15,3,94,1,40,274
2014-W49,14,57,1,0,10,0,2,24,10,76,0,13,190
2014-W50,24,23,0,3,11,1,3,12,3,56,0,14,177
2014-W51,2,33,1,0,7,1,1,13,5,92,0,14,146
2014-W52,6,22,0,0,5,0,7,39,5,69,0,13,171
2015-W01,3,3,0,0,6,1,5,32,11,41,0,3,143
2015-W02,4,4,0,0,17,0,1,14,4,41,0,9,90
2015-W03,2,8,0,0,8,1,0,13,4,31,0,3,47
2015-W04,0,6,0,0,10,0,0,1,0,6,0,6,36
2015-W05,0,0,0,0,1,4,1,5,3,36,0,1,29
2015-W06,0,3,0,0,11,0,0,5,2,28,0,0,27
2015-W07,0,0,0,0,7,0,1,0,0,13,0,4,71
2015-W08,0,20,0,0,8,1,0,1,1,15,0,0,17
2015-W09,0,22,0,0,6,0,1,1,0,16,0,1,34
2015-W10,0,6,0,0,7,0,0,0,0,12,0,0,33
2015-W11,0,6,0,0,4,0,2,0,0,11,0,0,32
2015-W12,0,1,0,0,8,0,0,0,1,6,0,0,17
2015-W13,0,1,0,0,5,0,0,0,0,6,0,0,13
2015-W14,0,0,0,0,2,0,0,0,0,1,0,0,6
2015-W15,0,0,0,0,4,0,0,0,0,1,0,0,4
2015-W16,0,0,0,0,4,0,1,0,0,1,0,0,6
2015-W17,0,0,0,0,8,0,0,0,0,0,0,0,3
2015-W18,0,0,0,0,5,0,0,0,0,0,0,0,4
2015-W19,0,0,0,0,0,0,0,0,0,0,0,0,2
2015-W20,0,0,0,0,1,0,0,0,0,3,0,0,4
2015-W21,0,0,0,0,0,0,0,0,0,1,0,0,2
2015-W22,0,0,0,0,1,0,0,0,0,8,0,0,3
2015-W23,0,0,0,0,5,0,0,0,0,10,0,0,0
2015-W24,0,0,0,0,6,0,0,0,0,8,0,0,0
2015-W25,0,0,0,0,2,0,0,0,0,4,0,0,2
2015-W26,0,0,0,0,2,0,0,0,0,2,0,0,4
2015-W27,0,0,0,0,4,0,0,0,0,2,0,0,3
2015-W28,0,0,0,0,3,0,0,0,0,1,0,0,10
2015-W29,0,0,0,0,0,0,0,0,0,1,0,0,2
2015-W30,0,0,0,0,0,0,0,0,0,0,0,1,2
2015-W31,0,0,0,0,0,0,0,0,0,0,0,2,0
2015-W32,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-W33,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W34,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W35,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-W36,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-W37,0,1,0,0,4,0,0,0,0,0,0,0,0
2015-W38,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W39,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W40,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W41,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W42,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W43,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W44,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W45,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W46,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W47,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W48,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W49,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W50,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W51,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W52,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-W53,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-W01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-W02,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-W03,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-W04,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-W05,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-W06,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-W07,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-W08,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-W09,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-W10,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-W11,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-W12,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-W13,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-W14,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-W15,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-W16,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-W17,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-W18,0,0,0,0,0,0,0,0,0,0,0,0,0
