Location,Country,Region/City,Disease,Species,Feed Language,HM Alert ID,Headline,URL,Issue Date,Alert Tag,New SC,New SD,New CC,New CD,Cumulative SC,Cumulative SD,Cumulative CC,Cumulative CD,RO,Feed Name,Report Source - Primary,Secondary Report Source
Guinea,Guinea,,Ebola,Humans,,2349696,PRO/AH/EDR> Undiagnosed viral hemorrhagic fever - Guinea (02): Ebola conf.,http://promedmail.org/direct.php?id=20140322.2349696,22/03/14 21:47,No Tag,80,59,,,,,6,,,ProMED Mail,"Canadian Broadcasting Company (CBC), Thomson Reuters report [edited]",
Guinea,Guinea,,Ebola,Humans,,2349697,"PRO/AH/EDR> Ebola virus disease - Sierra Leone: susp. alert, RFI",http://promedmail.org/direct.php?id=20140322.2349697,22/03/14 22:03,No Tag,,29,,,80,,,,,ProMED Mail,Reuters [edited],WHO
Guinea,Guinea,,Ebola,Humans,,2349865,"PRO/AH/EDR> Ebola virus disease - West Africa: Guinea, Zaire ebolavirus suspected",http://promedmail.org/direct.php?id=20140322.2349865,22/03/14 23:02,No Tag,,,,,,,6,,,ProMED Mail,Sylvain Baize & Delphine Pannetier,
Guinea,Guinea,,Ebola,Humans,,2354606,PRO/AH/EDR> Ebola virus disease - Guinea: not Conakry,http://promedmail.org/direct.php?id=20140324.2354606,24/03/14 22:29,No Tag,,,,,87,61,,,,ProMED Mail,BBC News [edited],Guinea MOH
Guinea,Guinea,,Ebola,Humans,,2359281,PRO/AH/EDR> Ebola virus disease - Guinea (02): bat eating banned,http://promedmail.org/direct.php?id=20140326.2359281,26/03/14 14:49,No Tag,,,,,,62,,,,ProMED Mail,BBC News Africa [edited],
Guinea,Guinea,,Ebola,Humans,,2359361,"PRO/AH/EDR> Ebola virus disease - Guinea (03): WHO update, travel health advisories",http://promedmail.org/direct.php?id=20140326.2359361,26/03/14 17:38,No Tag,,,,,86,62,20,,,ProMED Mail,WHO/AFRO [edited],
Guinea,Guinea,Guekedou,Ebola,Humans,,2359361,"PRO/AH/EDR> Ebola virus disease - Guinea (03): WHO update, travel health advisories",http://promedmail.org/direct.php?id=20140326.2359361,26/03/14 17:38,No Tag,,,6,,,,,,,ProMED Mail,US CDC Travel Health Notices [edited],
Liberia,Liberia,"Voinjama, Lofa County",Ebola,Humans,,2360265,"PRO/AH/EDR> Ebola virus disease - Liberia ex Guinea: susp. alert, RFI ",http://promedmail.org/direct.php?id=20140326.2360265,26/03/14 22:36,No Tag,6,5,,,,,,,,ProMED Mail,"The New Dawn, Liberia 25 March 2014 [edited]",
Guinea,Guinea,,Ebola,Humans,,2360265,"PRO/AH/EDR> Ebola virus disease - Liberia ex Guinea: susp. alert, RFI ",http://promedmail.org/direct.php?id=20140326.2360265,26/03/14 22:36,No Tag,,,,,,,,,,ProMED Mail,,
Guinea,Guinea,,Ebola,Humans,,2364547,"PRO/AH/EDR> Ebola virus disease - Guinea (04): WHO update, Conakry conf., alerts",http://promedmail.org/direct.php?id=20140328.2364547,28/03/14 15:58,No Tag,,,,,103,66,15,,,ProMED Mail,WHO Disease Outbreak News [edited],
Guinea,Guinea,Conakry,Ebola,Humans,,2364547,"PRO/AH/EDR> Ebola virus disease - Guinea (04): WHO update, Conakry conf., alerts",http://promedmail.org/direct.php?id=20140328.2364547,28/03/14 15:58,No Tag,4,1,,,,,,,,ProMED Mail,WHO Disease Outbreak News [edited],
Guinea,Guinea,Guekedou,Ebola,Humans,,2364547,"PRO/AH/EDR> Ebola virus disease - Guinea (04): WHO update, Conakry conf., alerts",http://promedmail.org/direct.php?id=20140328.2364547,28/03/14 15:58,No Tag,8,,,,,,,,,ProMED Mail,WHO Disease Outbreak News [edited],
Guinea,Guinea,Macenta,Ebola,Humans,,2364547,"PRO/AH/EDR> Ebola virus disease - Guinea (04): WHO update, Conakry conf., alerts",http://promedmail.org/direct.php?id=20140328.2364547,28/03/14 15:58,No Tag,2,,,,,,,,,ProMED Mail,WHO Disease Outbreak News [edited],
Liberia,Liberia,,Ebola,Humans,,2364547,"PRO/AH/EDR> Ebola virus disease - Guinea (04): WHO update, Conakry conf., alerts",http://promedmail.org/direct.php?id=20140328.2364547,28/03/14 15:58,No Tag,,,,,8,6,,,,ProMED Mail,WHO Disease Outbreak News [edited],
Sierra Leone,Sierra Leone,,Ebola,Humans,,2364547,"PRO/AH/EDR> Ebola virus disease - Guinea (04): WHO update, Conakry conf., alerts",http://promedmail.org/direct.php?id=20140328.2364547,28/03/14 15:58,No Tag,,,,,6,5,,,,ProMED Mail,WHO Disease Outbreak News [edited],
Guinea,Guinea,,Ebola,Humans,,2366532,PRO/AH/EDR> Ebola virus disease - Guinea (05): update,http://promedmail.org/direct.php?id=20140329.2366532,29/03/14 15:56,No Tag,10,7,,,112,70,,,,ProMED Mail,"Shanghai Daily, Xinhua News Agency report [edited]",Source from the Health Ministry
Guinea,Guinea,Conakry,Ebola,Humans,,2366532,PRO/AH/EDR> Ebola virus disease - Guinea (05): update,http://promedmail.org/direct.php?id=20140329.2366532,29/03/14 15:56,No Tag,,,,,8,,,,,ProMED Mail,"Star Tribune, Associated Press (AP) report [edited]",Health Officials
Guinea,Guinea,,Ebola,Humans,,2368463,PRO/AH/EDR> Ebola virus disease - West Africa: Guinea (02): WHO update,http://promedmail.org/direct.php?id=20140331.2368463,31/03/14 11:19,No Tag,,,,,112,70,,,,ProMED Mail,WHO/AFRO [edited],
Guinea,Guinea,Conakry,Ebola,Humans,,2368463,PRO/AH/EDR> Ebola virus disease - West Africa: Guinea (02): WHO update,http://promedmail.org/direct.php?id=20140331.2368463,31/03/14 11:19,No Tag,4,,,,,,11,,,ProMED Mail,WHO/AFRO [edited],
Guinea,Guinea,Guekedou,Ebola,Humans,,2368463,PRO/AH/EDR> Ebola virus disease - West Africa: Guinea (02): WHO update,http://promedmail.org/direct.php?id=20140331.2368463,31/03/14 11:19,No Tag,4,,,,,,6,,,ProMED Mail,WHO/AFRO [edited],
Guinea,Guinea,Macenta,Ebola,Humans,,2368463,PRO/AH/EDR> Ebola virus disease - West Africa: Guinea (02): WHO update,http://promedmail.org/direct.php?id=20140331.2368463,31/03/14 11:19,No Tag,1,,,,,,7,,,ProMED Mail,WHO/AFRO [edited],
Guinea,Guinea,Dabola,Ebola,Humans,,2368463,PRO/AH/EDR> Ebola virus disease - West Africa: Guinea (02): WHO update,http://promedmail.org/direct.php?id=20140331.2368463,31/03/14 11:19,No Tag,1,,,,,,,,,ProMED Mail,WHO/AFRO [edited],
Liberia,Liberia,,Ebola,Humans,,2368463,PRO/AH/EDR> Ebola virus disease - West Africa: Guinea (02): WHO update,http://promedmail.org/direct.php?id=20140331.2368463,31/03/14 11:19,No Tag,,,,,,,2,,,ProMED Mail,WHO/AFRO [edited],
Sierra Leone,Sierra Leone,,Ebola,Humans,,2368463,PRO/AH/EDR> Ebola virus disease - West Africa: Guinea (02): WHO update,http://promedmail.org/direct.php?id=20140331.2368463,31/03/14 11:19,No Tag,,,,,,2,,,,ProMED Mail,WHO/AFRO [edited],
Guinea,Guinea,,Ebola,Humans,,2369368,"PRO/AH/EDR> Ebola virus disease - West Africa (03): Liberia, timeline",http://promedmail.org/direct.php?id=20140331.2369368,31/03/14 11:30,No Tag,,,,,,59,,,,ProMED Mail,"Daily Observer, Liberia [edited]",
Guinea,Guinea,,Ebola,Humans,,2371054,"PRO/AH/EDR> Ebola virus disease - West Africa (04): Guinea, Liberia",http://promedmail.org/direct.php?id=20140331.2371054,31/03/14 22:51,No Tag,,,,,103,66,,,,ProMED Mail,Allafrica.com [edited],
Liberia,Liberia,,Ebola,Humans,,2371054,"PRO/AH/EDR> Ebola virus disease - West Africa (04): Guinea, Liberia",http://promedmail.org/direct.php?id=20140331.2371054,31/03/14 22:51,No Tag,,,,,6,4,,,,ProMED Mail,FrontPageAfrica (Monrovia) [edited],
