Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,SC,SD,CC,CD,RO,Feed Name,Lon,Lat
Sierra Leone,Sierra Leone,Ebola,Humans,4028824,West and Central Africa: Weekly Regional Humanitarian Snapshot (9 â€“ 15 February 2016),http://reliefweb.int/node/1398781,2/17/16 0:00,Breaking,,,,,,ReliefWeb,-11.79192,8.56028
Sierra Leone,Sierra Leone,Ebola,Humans,4008697,West and Central Africa: Weekly Regional Humanitarian Snapshot (2 â€“ 8 February 2016),http://reliefweb.int/node/1387401,2/10/16 0:00,Breaking,,,,,,ReliefWeb,-11.79192,8.56028
United States,United States,Ebola,Humans,3987792,Nine people suspected dead of Lassa fever in Benin,http://reliefweb.int/node/1375056,2/2/16 0:00,Breaking,,,,,,ReliefWeb,-97.556099,39.96693
Liberia,Liberia,Ebola,Humans,3509178,"UN Mission for Ebola Emergency Response (UNMEER) External Situation Report, 13 July 2015",http://reliefweb.int/node/1080336,7/13/15 0:00,Breaking,,,,,,ReliefWeb,-9.30791,6.44809
Sierra Leone,Sierra Leone,Ebola,Humans,3509178,"UN Mission for Ebola Emergency Response (UNMEER) External Situation Report, 13 July 2015",http://reliefweb.int/node/1080336,7/13/15 0:00,Breaking,,,,,,ReliefWeb,-11.79192,8.56028
Guinea,Guinea,Ebola,Humans,3509178,"UN Mission for Ebola Emergency Response (UNMEER) External Situation Report, 13 July 2015",http://reliefweb.int/node/1080336,7/13/15 0:00,Breaking,3753,2505,,,,ReliefWeb,-10.94177,10.43821
"Boke Region, Guinea",Guinea,Ebola,Humans,3509178,"UN Mission for Ebola Emergency Response (UNMEER) External Situation Report, 13 July 2015",http://reliefweb.int/node/1080336,7/13/15 0:00,Breaking,,,,,,ReliefWeb,-13.70667,11.2
"Dubreka Prefecture, Kindia, Guinea",Guinea,Ebola,Humans,3509178,"UN Mission for Ebola Emergency Response (UNMEER) External Situation Report, 13 July 2015",http://reliefweb.int/node/1080336,7/13/15 0:00,Breaking,,,,,,ReliefWeb,-13.41667,10.25
"Conakry Region, Guinea",Guinea,Ebola,Humans,3509178,"UN Mission for Ebola Emergency Response (UNMEER) External Situation Report, 13 July 2015",http://reliefweb.int/node/1080336,7/13/15 0:00,Breaking,,,,,,ReliefWeb,-13.712222,9.509167
"Forecariah, Kindia, Guinea",Guinea,Ebola,Humans,3509178,"UN Mission for Ebola Emergency Response (UNMEER) External Situation Report, 13 July 2015",http://reliefweb.int/node/1080336,7/13/15 0:00,Breaking,,,,,,ReliefWeb,-13.08806,9.43056
