Location; Ebola data source; Indicator type; Case definition,Sierra Leone; 30 December 2013 to 05 January 2014 (2014-W01),Sierra Leone; 06 to 12 January 2014 (2014-W02),Sierra Leone; 13 to 19 January 2014 (2014-W03),Sierra Leone; 20 to 26 January 2014 (2014-W04),Sierra Leone; 27 January to 02 February 2014 (2014-W05),Sierra Leone; 03 to 09 February 2014 (2014-W06),Sierra Leone; 10 to 16 February 2014 (2014-W07),Sierra Leone; 17 to 23 February 2014 (2014-W08),Sierra Leone; 24 February to 02 March 2014 (2014-W09),Sierra Leone; 03 to 09 March 2014 (2014-W10),Sierra Leone; 10 to 16 March 2014 (2014-W11),Sierra Leone; 17 to 23 March 2014 (2014-W12),Sierra Leone; 24 to 30 March 2014 (2014-W13),Sierra Leone; 31 March to 06 April 2014 (2014-W14),Sierra Leone; 07 to 13 April 2014 (2014-W15),Sierra Leone; 14 to 20 April 2014 (2014-W16),Sierra Leone; 21 to 27 April 2014 (2014-W17),Sierra Leone; 28 April to 04 May 2014 (2014-W18),Sierra Leone; 05 to 11 May 2014 (2014-W19),Sierra Leone; 12 to 18 May 2014 (2014-W20),Sierra Leone; 19 to 25 May 2014 (2014-W21),Sierra Leone; 26 May to 01 June 2014 (2014-W22),Sierra Leone; 02 to 08 June 2014 (2014-W23),Sierra Leone; 09 to 15 June 2014 (2014-W24),Sierra Leone; 16 to 22 June 2014 (2014-W25),Sierra Leone; 23 to 29 June 2014 (2014-W26),Sierra Leone; 30 June to 06 July 2014 (2014-W27),Sierra Leone; 07 to 13 July 2014 (2014-W28),Sierra Leone; 14 to 20 July 2014 (2014-W29),Sierra Leone; 21 to 27 July 2014 (2014-W30),Sierra Leone; 28 July to 03 August 2014 (2014-W31),Sierra Leone; 04 to 10 August 2014 (2014-W32),Sierra Leone; 11 to 17 August 2014 (2014-W33),Sierra Leone; 18 to 24 August 2014 (2014-W34),Sierra Leone; 25 to 31 August 2014 (2014-W35),Sierra Leone; 01 to 07 September 2014 (2014-W36),Sierra Leone; 08 to 14 September 2014 (2014-W37),Sierra Leone; 15 to 21 September 2014 (2014-W38),Sierra Leone; 22 to 28 September 2014 (2014-W39),Sierra Leone; 29 September to 05 October 2014 (2014-W40),Sierra Leone; 06 to 12 October 2014 (2014-W41),Sierra Leone; 13 to 19 October 2014 (2014-W42),Sierra Leone; 20 to 26 October 2014 (2014-W43),Sierra Leone; 27 October to 02 November 2014 (2014-W44),Sierra Leone; 27 October to 09 November 2014 (2014-W45),Sierra Leone; 10 to 16 November 2014 (2014-W46),Sierra Leone; 17 to 23 November 2014 (2014-W47),Sierra Leone; 24 to 30 November 2014 (2014-W48),Sierra Leone; 01 to 07 December 2014 (2014-W49),Sierra Leone; 08 to 14 December 2014 (2014-W50)
BO; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,16,18,21,14,15,12,33,14,23,14,24
BO; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
BO; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,4,6,9,12,6,15,38,10,17,3,27,17,15,28,13,13,11,11,15,3,,
BO; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,3,10,11,15,6,2,4,2,5,7,9,6,6,13,22,3,27,,
BOMBALI; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,79,52,94,72,56,90,69,52,54,66,57,23
BOMBALI; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,0,0,0,0,0,0,0
BOMBALI; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,5,1,2,2,11,25,31,42,80,79,79,57,61,73,67,60,43,58,48,,
BOMBALI; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,8,,5,9,13,5,8,5,1,1,3,2,2,3,1,
BONTHE; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,0,1,0
BONTHE; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
BONTHE; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
BONTHE; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
KAILAHUN; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,3,3,11,6,4,3,1,2,1,0,3
KAILAHUN; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
KAILAHUN; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,3,18,28,58,38,30,52,79,40,29,72,41,23,19,24,22,12,7,6,4,4,19,3,3,3,1,3,1,,
KAILAHUN; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,,2,5,2,,5,3,5,2,7,4,7,3,,,2,,2,2,,1,12,7,4,2,3,,,,
KAMBIA; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,7,4,2,4,16,6,5,5,14,10,11
KAMBIA; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
