"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,97,"GIN","Guinea",1,"Boké",1,"Boffa","GN.BF",NA,"","Préfecture","Prefecture","",""
2,97,"GIN","Guinea",1,"Boké",2,"Boké","GN.BK",NA,"","Préfecture","Prefecture","",""
3,97,"GIN","Guinea",1,"Boké",3,"Fria","GN.FR",NA,"","Préfecture","Prefecture","",""
4,97,"GIN","Guinea",1,"Boké",4,"Gaoual","GN.GA",NA,"","Préfecture","Prefecture","",""
5,97,"GIN","Guinea",1,"Boké",5,"Koundara","GN.KD",NA,"","Préfecture","Prefecture","","Youkoukoun|Youkounkoun"
6,97,"GIN","Guinea",2,"Conakry",6,"Conakry","GN.CK",NA,"","Préfecture","Prefecture","",""
7,97,"GIN","Guinea",3,"Faranah",7,"Dabola","GN.DB",NA,"","Préfecture","Prefecture","",""
8,97,"GIN","Guinea",3,"Faranah",8,"Dinguiraye","GN.DI",NA,"","Préfecture","Prefecture","",""
9,97,"GIN","Guinea",3,"Faranah",9,"Faranah","GN.FA",NA,"","Préfecture","Prefecture","",""
10,97,"GIN","Guinea",3,"Faranah",10,"Kissidougou","GN.KS",NA,"","Préfecture","Prefecture","",""
11,97,"GIN","Guinea",4,"Kankan",11,"Kérouané","GN.KE",NA,"","Préfecture","Prefecture","",""
12,97,"GIN","Guinea",4,"Kankan",12,"Kankan","GN.KA",NA,"","Préfecture","Prefecture","",""
13,97,"GIN","Guinea",4,"Kankan",13,"Kouroussa","GN.KO",NA,"","Préfecture","Prefecture","",""
14,97,"GIN","Guinea",4,"Kankan",14,"Mandiana","GN.MD",NA,"","Préfecture","Prefecture","",""
15,97,"GIN","Guinea",4,"Kankan",15,"Siguiri","GN.SI",NA,"","Préfecture","Prefecture","",""
16,97,"GIN","Guinea",5,"Kindia",16,"Coyah","GN.CO",NA,"","Préfecture","Prefecture","",""
17,97,"GIN","Guinea",5,"Kindia",17,"Dubréka","GN.DU",NA,"","Préfecture","Prefecture","",""
18,97,"GIN","Guinea",5,"Kindia",18,"Forécariah","GN.FO",NA,"","Préfecture","Prefecture","",""
19,97,"GIN","Guinea",5,"Kindia",19,"Kindia","GN.KI",NA,"","Préfecture","Prefecture","",""
20,97,"GIN","Guinea",5,"Kindia",20,"Télimélé","GN.TE",NA,"","Préfecture","Prefecture","",""
21,97,"GIN","Guinea",6,"Labé",21,"Koubia","GN.KB",NA,"","Préfecture","Prefecture","",""
22,97,"GIN","Guinea",6,"Labé",22,"Lélouma","GN.LE",NA,"","Préfecture","Prefecture","",""
23,97,"GIN","Guinea",6,"Labé",23,"Labé","GN.LA",NA,"","Préfecture","Prefecture","",""
24,97,"GIN","Guinea",6,"Labé",24,"Mali","GN.ML",NA,"","Préfecture","Prefecture","",""
25,97,"GIN","Guinea",6,"Labé",25,"Tougué","GN.TO",NA,"","Préfecture","Prefecture","","Touge"
26,97,"GIN","Guinea",7,"Mamou",26,"Dalaba","GN.DL",NA,"","Préfecture","Prefecture","",""
27,97,"GIN","Guinea",7,"Mamou",27,"Mamou","GN.MM",NA,"","Préfecture","Prefecture","",""
28,97,"GIN","Guinea",7,"Mamou",28,"Pita","GN.PI",NA,"","Préfecture","Prefecture","",""
29,97,"GIN","Guinea",8,"Nzérékoré",29,"Beyla","GN.BE",NA,"","Préfecture","Prefecture","",""
30,97,"GIN","Guinea",8,"Nzérékoré",30,"Guéckédou","GN.GU",NA,"","Préfecture","Prefecture","","Guékédou"
31,97,"GIN","Guinea",8,"Nzérékoré",31,"Lola","GN.LO",NA,"","Préfecture","Prefecture","",""
32,97,"GIN","Guinea",8,"Nzérékoré",32,"Macenta","GN.MC",NA,"","Préfecture","Prefecture","",""
33,97,"GIN","Guinea",8,"Nzérékoré",33,"Nzérékoré","GN.NZ",NA,"","Préfecture","Prefecture","",""
34,97,"GIN","Guinea",8,"Nzérékoré",34,"Yamou","GN.YO",NA,"","Préfecture","Prefecture","",""
