rowname,x,y
Bengo,13.88141273,-8.97773979
Benguela,13.98970619,-12.93351173
Bié,17.36258115,-12.32493312
Cabinda,12.47566101,-5.03929419
Cuando Cubango,19.51642257,-16.11853758
Cuanza Norte,14.94596064,-8.89862227
Cuanza Sul,15.04484941,-10.82598035
Cunene,15.57852043,-16.50351286
Huambo,15.74563384,-12.56917165
Huíla,14.95009645,-14.74288032
Luanda,13.31045103,-8.97973646
Lunda Norte,19.49290413,-8.65208694
Lunda Sul,20.65539948,-10.1761504
Malanje,16.95820552,-9.49005179
Moxico,21.04007468,-12.87972557
Namibe,12.72712792,-15.49315696
Uíge,15.47739001,-7.02405117
Zaire,13.56186758,-6.60852462
