NodeName,City,StateCode,CountryCode,Lon,Lat
AAA,Anaa,NULL,PF,-145.42,-17.05
AAC,Al Arish,NULL,EG,33.75,31.13
AAE,Annaba,NULL,DZ,7.81,36.82
AAL,Aalborg,NULL,DK,9.87,57.09
AAN,Al Ain,NULL,AE,55.62,24.26
AAQ,Anapa,NULL,RU,37.32,44.9
AAR,Aarhus,NULL,DK,10.63,56.31
AAT,Altay,NULL,CN,89.5,43.93
AAX,Araxa,MG,BR,-46.93,-19.57
AAY,Al Ghaydah,NULL,YE,52.17,16.2
ABA,Abakan,NULL,RU,91.5,53.72
ABC,Albacete,SP,ES,-1.86,38.95
ABD,Abadan,NULL,IR,48.23,30.36
ABE,Allentown,PA,US,-75.43,40.65
ABI,Abilene,TX,US,-99.68,32.41
ABJ,Abidjan,NULL,CI,-3.93,5.25
ABK,Kabri Dar,NULL,ET,44.27,6.73
ABL,Ambler,AK,US,-157.85,67.09
ABM,Bamaga,QLD,AU,142.45,-10.94
ABQ,Albuquerque,NM,US,-106.62,35.05
ABR,Aberdeen,SD,US,-98.43,45.45
ABS,Abu Simbel,NULL,EG,31.61,22.37
ABT,Al-Baha,NULL,SA,41.64,20.29
ABV,Abuja,NULL,NG,7.27,9
ABX,Albury,NSW,AU,146.95,-36.07
ABY,Albany,GA,US,-84.2,31.53
ABZ,Aberdeen,SC,GB,-2.2,57.2
ACA,Acapulco,NULL,MX,-99.75,16.76
ACC,Accra,NULL,GH,-0.17,5.61
ACE,Lanzarote,CI,ES,-13.61,28.95
ACH,Altenrhein,NULL,CH,9.57,47.48
ACI,Alderney,CI,GB,-2.22,49.71
ACK,Nantucket,MA,US,-70.06,41.26
ACP,Sahand,NULL,IR,46.15,37.35
ACR,Araracuara,NULL,CO,-72.3,-0.38
ACT,Waco,TX,US,-97.22,31.61
ACU,Achutupo,NULL,PA,-79.72,9.58
ACV,Arcata,CA,US,-124.11,40.97
ACX,Xingyi,NULL,CN,104.96,25.09
ACY,Atlantic City,NJ,US,-74.57,39.45
ACZ,Zabol,NULL,IR,61.54,31.09
ADA,Adana,NULL,TR,35.3,36.99
ADB,Izmir,NULL,TR,27.15,38.29
ADD,Addis Ababa,NULL,ET,38.8,8.98
ADE,Aden,NULL,YE,45.04,12.83
ADF,Adiyaman,NULL,TR,38.27,37.75
ADJ,Amman,NULL,JO,35.98,31.98
ADK,Adak Island,AK,US,-176.64,51.88
ADL,Adelaide,SA,AU,138.54,-34.94
ADQ,Kodiak,AK,US,-152.51,57.76
ADU,Ardabil,NULL,IR,48.42,38.32
ADZ,San Andres Island,NULL,CO,-81.7,12.59
AEB,Baise,NULL,CN,106.62,23.9
AEG,Aek Godang,NULL,ID,99.42,1.4
AEH,Abecher,NULL,TD,20.85,13.85
AEI,Algeciras,SP,ES,-5.45,36.18
AEP,Buenos Aires,BA,AR,-58.42,-34.56
AER,Adler/Sochi,NULL,RU,39.94,43.45
AES,Aalesund,NULL,NO,6.12,62.56
AET,Allakaket,AK,US,-152.66,66.56
AEX,Alexandria,LA,US,-92.54,31.32
AEY,Akureyri,NULL,IS,-18.08,65.65
AFA,San Rafael,MD,AR,-68.4,-34.59
AFL,Alta Floresta,MT,BR,-56.1,-9.87
AFS,Zarafshan,NULL,UZ,64.23,41.61
AFT,Afutara,NULL,SB,160.85,-9.2
AFZ,Sabzevar,NULL,IR,57.6,36.17
AGA,Agadir,NULL,MA,-9.56,30.38
AGB,Munich,NULL,DE,10.93,48.43
AGF,Agen,NULL,FR,0.6,44.17
AGH,Angelholm/Helsingborg,NULL,SE,12.86,56.29
