"","country","rel_prob"
"105","India",0.104289615023627
"44","China",0.091727496778182
"164","Nigeria",0.0839584335215926
"85","Guinea",0.0441225370425755
"33","Brazil",0.0382851222313834
"235","United States",0.0338863530318579
"45","Côte d'Ivoire",0.0257741747518402
"47","Democratic Republic of the Congo",0.0201655849314019
"173","Pakistan",0.0199431342964428
"146","Mali",0.0172321272054208
"83","Ghana",0.0169540866601998
"103","Indonesia",0.0165771269863114
"72","Ethiopia",0.0153683183000181
"67","Egypt",0.0150515410443555
"194","Senegal",0.0145137174396329
"190","Russia",0.0138690517499911
"60","Germany",0.013779391515894
"23","Bangladesh",0.0135473979455328
"227","Turkey",0.0125911528167016
"22","Burkina Faso",0.0124213989093367
"76","France",0.0120540648613594
"112","Italy",0.0117311018099282
"143","Mexico",0.011586876066642
"80","United Kingdom",0.0112019307849314
"70","Spain",0.011136217277654
"138","Morocco",0.0102965496516083
"127","Liberia",0.0102682540998212
"108","Iran",0.0100502213789203
"65","Algeria",0.00975193103681578
"46","Cameroon",0.00800888463985945
"252","South Africa",0.00780807208770569
"116","Japan",0.00764977555318856
"162","Niger",0.00758247710993424
"230","Tanzania",0.00754288803335835
"118","Kenya",0.00714572342396194
"232","Ukraine",0.00681741954595249
"242","Vietnam",0.00632341559154686
"231","Uganda",0.00631059237481468
"193","Sudan",0.00628384043115275
"50","Colombia",0.00608819509076779
"180","Poland",0.00606897503231826
"177","Philippines",0.00589555997667417
"3","Angola",0.00587096282271112
"9","Argentina",0.00565729060934867
"20","Benin",0.00533184951813608
"219","Thailand",0.00485446287700576
"109","Iraq",0.00441099415058362
"40","Canada",0.00430677883728692
"239","Venezuela",0.00426767667120502
"148","Myanmar",0.00422354659439452
"192","Saudi Arabia",0.00414868906914452
"218","Togo",0.00408747229998773
"251","Yemen",0.00375021115868092
"176","Peru",0.0036131256348462
"152","Mozambique",0.00358797451061538
"153","Mauritania",0.00345437496005219
"189","Romania",0.00343999751949062
"2","Afghanistan",0.0032835125703953
"123","South Korea",0.00315200947536662
"88","Guinea-Bissau",0.00310768245189687
"217","Chad",0.00307132430535486
"167","Netherlands",0.00291607156938798
"236","Uzbekistan",0.00290050846590109
"141","Madagascar",0.00284258791146699
"157","Malawi",0.00272441740537461
"169","Nepal",0.00268767710105016
"183","Portugal",0.00264014171821328
"87","Gambia",0.00257631893064377
"215","Syria",0.00254685373860773
"226","Tunisia",0.00244649878261272
"253","Zambia",0.00239996024995633
