CL_DistrictRes,Centroid_Lon,Centroid_Lat,Pop
BOFFA,-14.175,9.76666666666667,240302
BOKE,-14.3083333333333,10.2416666666667,494805
FRIA,-13.5833333333333,10.5,106753
CONAKRY,-13.5583333333333,9.55833333333332,1693456
DABOLA,-10.975,9.76666666666667,203916
DINGUIRAYE,-10.725,10.7583333333333,219805
FARANAH,-10.9,9.20833333333333,312725
KISSIDOUGOU,-10.05,8.76666666666667,317961
KEROUANE,-9.21666666666667,8.66666666666666,233082
KANKAN,-8.88333333333333,9.70833333333333,529895
KOUROUSSA,-9.95833333333334,10.7083333333333,301529
SIGUIRI,-9.55000000000001,11.1083333333333,764031
COYAH,-13.3583333333333,9.72499999999999,387828
DUBREKA,-13.5416666666667,9.93333333333332,262823
FORECARIAH,-13.0916666666667,8.94999999999999,269514
KINDIA,-12.6666666666667,9.29166666666666,496565
TELIMELE,-13.3833333333333,10.4,317024
MALI,-12.225,12.1166666666667,320856
TOUGUE,-11.5083333333333,10.9666666666667,140382
DALABA,-12.0833333333333,10.3083333333333,151758
PITA,-12.675,10.3416666666667,311792
BEYLA,-8.40000000000001,8.05,366730
GUECKEDOU,-10.225,8.32499999999999,334636
LOLA,-8.30833333333334,7.94999999999999,192949
MACENTA,-9.375,7.85833333333332,310730
NZEREKORE,-8.84999999999999,7.79166666666666,442820
YAMOU,-9.22499999999999,7.25833333333333,129314
KAILAHUN,-10.7083333333333,7.925,439730
KENEMA,-11.2166666666667,7.76666666666667,502660
KONO,-10.9166666666667,7.875,424799
BOMBALI,-12.1166666666667,9.175,507530
KAMBIA,-12.8,9.05,283522
KOINADUGU,-11.3583333333333,8.98333333333332,329632
PORTLOKO,-12.7833333333333,8.24166666666666,509494
TONKOLILI,-11.8583333333333,8.59999999999999,432813
BO,-11.7666666666667,7.73333333333332,492329
BONTHE,-12.2166666666667,7.10833333333332,173794
MOYAMBA,-12.35,7.20833333333333,258802
PUJEHUN,-11.525,6.86666666666666,263583
WESTERN,-13.2416666666667,8.41666666666666,743160
BOMI,-10.7464285714286,6.67653045951204,129410
BONG,-9.82862818904223,6.95441853770868,363673
GBAPOLU,-10.0990476190476,7.26365162503356,92977
GRANDCAPEMOUNT,-11.2168121363258,7.05449400798933,149628
GRANDBASSA,-9.93598484848482,6.07696118909992,254527
GRANDGEDEH,-8.136211011211,6.05888361091561,137685
GRANDKRU,-8.09722222222223,4.68948186528498,66323
LOFA,-10.1171568627451,8.26400778880617,321223
MARGIBI,-10.46375,6.35081294822673,320669
MARYLAND,-7.67054433221102,4.59149058702042,151412
MONTSERRADO,-10.7939591296677,6.32530672981387,1273057
NIMBA,-8.70482332707942,7.05229556102979,569581
RIVERCESS,-9.58690476190478,5.78811111111111,75642
RIVERGEE,-8.01099605522683,5.24353570507863,96188
SINOE,-8.52123415361669,5.19336900129701,113439
