"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun","SL.EA.KL",NA,"","District","District","",""
2,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema","SL.EA.KE",NA,"","District","District","",""
3,204,"SLE","Sierra Leone",1,"Eastern",3,"Kono","SL.EA.KN",NA,"","District","District","",""
4,204,"SLE","Sierra Leone",2,"Northern",4,"Bombali","SL.NO.BM",NA,"","District","District","",""
5,204,"SLE","Sierra Leone",2,"Northern",5,"Kambia","SL.NO.KM",NA,"","District","District","",""
6,204,"SLE","Sierra Leone",2,"Northern",6,"Koinadugu","SL.NO.KD",NA,"","District","District","",""
7,204,"SLE","Sierra Leone",2,"Northern",7,"Port Loko","SL.NO.PL",NA,"","District","District","",""
8,204,"SLE","Sierra Leone",2,"Northern",8,"Tonkolili","SL.NO.TO",NA,"","District","District","",""
9,204,"SLE","Sierra Leone",3,"Southern",9,"Bo","SL.SO.BO",NA,"","District","District","",""
10,204,"SLE","Sierra Leone",3,"Southern",10,"Bonthe","SL.SO.BN",NA,"","District","District","",""
11,204,"SLE","Sierra Leone",3,"Southern",11,"Moyamba","SL.SO.MO",NA,"","District","District","",""
12,204,"SLE","Sierra Leone",3,"Southern",12,"Pujehun","SL.SO.PU",NA,"","District","District","",""
13,204,"SLE","Sierra Leone",4,"Western",13,"Western Rural","SL.WE.WR",NA,"","Area","Area","",""
14,204,"SLE","Sierra Leone",4,"Western",14,"Western Urban","SL.WE.WU",NA,"","Area","Area","","Freetown"
