"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",1,"Dia",NA,"","Chiefdom","Chiefdom","",""
2,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",2,"Jawie",NA,"","Chiefdom","Chiefdom","",""
3,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",3,"Kissi Kama",NA,"","Chiefdom","Chiefdom","",""
4,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",4,"Kissi Teng",NA,"","Chiefdom","Chiefdom","",""
5,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",5,"Kissi Tongi",NA,"","Chiefdom","Chiefdom","",""
6,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",6,"Luawa",NA,"","Chiefdom","Chiefdom","",""
7,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",7,"Malema",NA,"","Chiefdom","Chiefdom","",""
8,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",8,"Mandu",NA,"","Chiefdom","Chiefdom","",""
9,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",9,"Njaluahun",NA,"","Chiefdom","Chiefdom","",""
10,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",10,"Pehe Bongre",NA,"","Chiefdom","Chiefdom","",""
11,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",11,"Peje West",NA,"","Chiefdom","Chiefdom","",""
12,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",12,"Penguia",NA,"","Chiefdom","Chiefdom","",""
13,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",13,"Upper Bambara",NA,"","Chiefdom","Chiefdom","",""
14,204,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun",14,"Yawei",NA,"","Chiefdom","Chiefdom","",""
15,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",15,"Dama",NA,"","Chiefdom","Chiefdom","",""
16,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",16,"Dodo",NA,"","Chiefdom","Chiefdom","",""
17,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",17,"Gaura",NA,"","Chiefdom","Chiefdom","",""
18,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",18,"Gorama Mende",NA,"","Chiefdom","Chiefdom","",""
19,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",19,"Kando Leppeama",NA,"","Chiefdom","Chiefdom","",""
20,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",20,"Koya",NA,"","Chiefdom","Chiefdom","",""
21,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",21,"Langrama",NA,"","Chiefdom","Chiefdom","",""
22,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",22,"Lower Bambara",NA,"","Chiefdom","Chiefdom","",""
23,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",23,"Malegohun",NA,"","Chiefdom","Chiefdom","",""
24,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",24,"Niawa",NA,"","Chiefdom","Chiefdom","",""
25,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",25,"Nomo",NA,"","Chiefdom","Chiefdom","",""
26,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",26,"Nongowa",NA,"","Chiefdom","Chiefdom","",""
27,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",27,"Simbaru",NA,"","Chiefdom","Chiefdom","",""
28,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",28,"Small Bo",NA,"","Chiefdom","Chiefdom","",""
29,204,"SLE","Sierra Leone",1,"Eastern",2,"Kenema",29,"Tunkia",NA,"","Chiefdom","Chiefdom","",""
