"Data Source","World Development Indicators",

"Last Updated Date","2017-09-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.0348442494869232","","","","","0.0634277984499931","","","","","0.0649000033736229","","","","","","","","","","","0.0769999995827675","","","","","0.183100000023842","0.179000005125999","","0.129199996590614","0.1092000008","","","0.1428000033","","","","0.11","","","","0.2","","","","","0.168","0.183","0.182","0.222","0.247","0.263","0.253","0.299","0.304","","",
"Angola","AGO","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.0670681074261665","","","","","0.0760617777705193","","","","","0.116300001740456","","","","","","","","","","","","","","0.0593999996781349","","","","","","0.0421000011","","","","","","","0.064","","","","","","","0.067","","","","","0.144","","","","","","","",
"Albania","ALB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.276291221380234","","","","","0.48128342628479","","","","","0.739499986171722","0.910899996757507","0.845499992370605","","","","","1.03649997711182","","","1.36679995059967","","","1.41480004787445","1.40659999847412","1.40629994869232","","","","1.40330004692078","1.3740999699","1.4702999592","1.6500999928","1.4254000187","","1.306","1.354","1.295","1.289","1.282","1.389","","1.305","","","","","1.146","","1.144","1.254","1.24","1.283","1.286","","","",
"Andorra","AND","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.231","","2.435","2.47","2.594","2.549","2.594","","3.263","","","3.64","3.716","","3.112","4","","","","","3.689","",
"Arab World","ARB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.717665032264318","","","","","","","","","","1.12355565777511","","","","","","","","","","","","1.31681416317372","","","","",
"United Arab Emirates","ARE","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","0.909099996089935","","","","","","","","","","1.06809997558594","","","","0.953199982643127","","","","","","","","","","","","","","","","","1.81","","","","1.55","","1.533","1.929","1.558","1.531","","","","1.558","","",
"Argentina","ARG","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.35069847106934","","","","","1.66665172576904","","","","","1.89219999313354","","","","","1.86930000782013","","","","","","","","","2.68330001831055","2.70499992370605","2.98440003395081","","3.03200006484985","","2.6800000668","","2.639","","","2.68","","","3.002","","","3.231","","","3.166","3.21","","","","","3.21","","","3.762","","","",
"Armenia","ARM","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","3.21050000190735","3.27789998054504","3.40580010414124","3.45350003242493","3.50090003013611","3.57719993591309","3.67389988899231","3.73550009727478","3.76270008087158","3.88120007514954","3.9244000912","3.701499939","3.5969998837","3.3454999924","3.1221001148","3.042","3.591","3.156","3.156","3.051","2.987","3.526","","3.588","","","3.7","3.697","","2.677","2.759","2.779","2.805","2.811","2.803","","",
"American Samoa","ASM","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0.772300004959106","","","","","","","","","","","","","","","0.781","","","","","","","","","","","","","","","","","",
