"Country","Year","Physicians density (per 1000 population)","Nursing and midwifery personnel density (per 1000 population)","Dentistry personnel density (per 1000 population)","Pharmaceutical personnel density (per 1000 population)","Laboratory health workers density (per 1000 population)","Environmental and public health workers density (per 1000 population)","Community and traditional health workers density (per 1000 population)","Other health workers density (per 1000 population)","Health management &amp; support workers density (per 1000 population)"
"Afghanistan"," 2014","0.304","0.36","0.011","0.034","","","","",""
"Afghanistan"," 2013","0.299","","","","","","","0.534",""
"Afghanistan"," 2012","0.253","","","0.028","","","","0.455",""
"Afghanistan"," 2011","0.263","","","0.029","","","","0.425",""
"Afghanistan"," 2010","0.247","","","0.029","","","","0.435",""
"Afghanistan"," 2009","0.222","0.634","","0.031","","","","0.454",""
"Afghanistan"," 2008","0.182","0.519","0.014","0.031","","","","0.457",""
"Afghanistan"," 2007","0.183","0.519","0.012","0.032","","","","",""
"Afghanistan"," 2006","0.168","0.462","0.013","0.033","","","","",""
"Afghanistan"," 2005","","0.612","","0.037","","","","",""
"Afghanistan"," 2001","0.2","0.231","","0.026","","","","",""
"Albania"," 2013","1.286","","","0.847","","","","",""
"Albania"," 2012","1.283","","","","","","","",""
"Albania"," 2011","1.24","","","0.481","","","","",""
"Albania"," 2010","1.254","","","0.456","","","","",""
"Albania"," 2006","","","0.339","","","","","",""
"Albania"," 1994","","5.161","","","","","","",""
"Algeria"," 2007","1.192","1.924","0.321","0.24","0.289","0.071","0.029","3.276","0.028"
"Algeria"," 2005","1.021","","0.271","0.183","","","","2.981","1.851"
"Algeria"," 2002","1.106","2.18","0.299","0.198","0.276","0.079","0.033","0.177","1.885"
"Andorra"," 2015","3.689","4.441","0.908","1.164","","","","3.434",""
"Andorra"," 2009","3.112","3.639","0.597","0.913","","","","",""
"Andorra"," 2003","3.263","","0.588","0.909","","","","",""
"Angola"," 2009","0.144","1.442","","","","","","0.265",""
"Angola"," 2004","0.067","1.069","0.013","0.053","0.117","","","0.015","0.015"
"Angola"," 1997","0.064","0.987","0","0.002","","","","",""
"Antigua and Barbuda"," 1999","0.158","3.064","","","","","","",""
"Antigua and Barbuda"," 1997","","","0.18","","","","","",""
"Argentina"," 2013","3.762","","","","","","","",""
"Argentina"," 2004","3.166","0.482","0.919","0.504","0.507","","","2.054",""
"Argentina"," 2001","3.231","0.443","0.959","0.565","0.528","","","1.906",""
"Argentina"," 1998","3.002","0.8","0.797","0.422","","","","",""
"Argentina"," 1994","","2.141","","","","","","",""
"Argentina"," 1992","2.639","2.05","0.651","0.312","0.223","0.03","","3.164","2.823"
"Armenia"," 2014","2.803","4.994","0.379","0.05","","","","1.708",""
"Armenia"," 2013","2.811","","0.406","0.049","","","","1.75",""
"Armenia"," 2012","2.805","","0.433","0.042","","","","1.762",""
"Armenia"," 2011","2.779","","0.437","0.041","","","","1.759",""
"Armenia"," 2010","2.759","","0.424","0.042","","","","1.715",""
"Australia"," 2013","3.374","12.344","0.562","0.827","","","","0.827",""
"Australia"," 2012","3.285","11.273","0.557","0.746","","","","0.785",""
"Australia"," 2011","3.282","","0.535","0.675","","","","0.754",""
"Australia"," 2010","","","","0.868","","","","0.919",""
"Australia"," 2009","2.885","9.246","0.666","1.001","","","","4.446",""
"Australia"," 2006","2.672","10.78","1.438","0.744","0.508","","0.049","10.326","0.095"
"Australia"," 2001","2.479","9.728","1.103","0.723","0.431","","0.197","1.986","25.29"
"Australia"," 1996","2.513","10.333","1.273","0.672","0.356","","0.039","6.668",""
"Austria"," 2015","5.15","","0.574","","","","","",""
"Austria"," 2014","5.064","8.192","0.575","0.663","","","","0.947",""
"Austria"," 2013","4.984","","0.572","0.697","","","","0.957",""
"Austria"," 2012","4.881","","0.567","0.689","","","","0.952",""
"Austria"," 2011","4.824","","0.563","0.677","","","","0.952",""
"Austria"," 2010","4.779","","0.558","0.665","","","","0.873",""
"Azerbaijan"," 2014","3.402","6.351","0.27","0.197","","","","0.03",""
"Azerbaijan"," 2013","3.415","","0.258","0.205","","","","0.034",""
"Azerbaijan"," 2012","3.454","","0.263","0.178","","","","0.035",""
"Azerbaijan"," 2011","3.407","","0.26","0.18","","","","0.035",""
"Azerbaijan"," 2010","3.636","","0.271","0.201","","","","0.035",""
"Bahamas"," 2008","2.717","3.99","0.33","0.459","0.491","","","0.41",""
"Bahamas"," 1998","1.076","4.561","0.072","","","","","",""
"Bahrain"," 2014","0.939","2.445","0.249","0.161","0.308","","","0.267",""
"Bahrain"," 2013","0.929","2.44","0.245","0.144","0.305","","","0.269",""
"Bahrain"," 2012","0.933","2.418","0.247","0.154","0.315","","","0.259",""
"Bahrain"," 2011","0.925","2.444","0.236","0.148","0.323","","","0.269",""
"Bahrain"," 2010","0.934","2.42","0.233","0.155","0.341","","","0.277",""
"Bahrain"," 2009","0.96","2.498","0.231","0.155","0.318","","","0.268",""
"Bahrain"," 2008","0.989","2.56","0.245","0.167","0.341","","","0.272",""
"Bahrain"," 2007","1.025","","","0.175","","","","",""
"Bahrain"," 2006","1.033","2.769","0.269","0.183","0.383","","","0.234",""
"Bahrain"," 2005","1.07","2.755","0.28","0.189","0.366","","","0.241",""
"Bahrain"," 2004","0.994","","0.423","","0.593","0.364","","1.734","2.551"
"Bahrain"," 2003","1.071","2.889","","0.183","0.393","","","0.118",""
"Bahrain"," 2002","1.092","2.91","","0.185","0.403","","","0.114",""
"Bahrain"," 2001","1.068","3.117","","0.194","0.417","","","0.106",""
"Bahrain"," 2000","1.017","2.971","","0.19","0.408","","","0.106",""
"Bangladesh"," 2012","0.389","0.213","0.045","0.417","0.054","0.009","0.476","0.065","0.324"
"Bangladesh"," 2011","0.374","0.198","0.046","0.402","0.048","0.008","0.393","0.062","0.317"
