Date,Country,y,ymin,ymax,Incidence
2014-08-17,Guinea,42,28,60,82.91428571428571
2014-08-24,Guinea,50,32,75,50.285714285714334
2014-08-31,Guinea,60,37,93.02499999999998,128.39999999999998
2014-09-07,Guinea,73,43,117.02499999999998,96.17142857142858
2014-09-14,Guinea,88,50,153,81.42857142857144
2014-09-21,Guinea,109,63,196.02499999999998,67.79999999999995
2014-08-17,Liberia,382,329.95,440,249.20000000000005
2014-08-24,Liberia,553,466,647.05,387.42857142857133
2014-08-31,Liberia,800.5,646.95,981,356.82142857142867
2014-09-07,Liberia,1162,909.9749999999999,1497.0249999999999,388.5357142857142
2014-09-14,Liberia,1690,1263.9,2259.35,651.2142857142858
2014-09-21,Liberia,2465,1761.875,3487.2999999999997,485.1999999999998
2014-08-17,Sierra Leone,143,114,173,106.14285714285711
2014-08-24,Sierra Leone,159,124,195,144.43609022556393
2014-08-31,Sierra Leone,179.5,134,228,215.52631578947376
2014-09-07,Sierra Leone,203,150.97500000000002,264,215.52631578947353
2014-09-14,Sierra Leone,229.5,162.97500000000002,315.025,224.36842105263167
2014-09-21,Sierra Leone,263,180.95,368.025,200
