Attribute, Non-empty Entries
uuid,1862
upstream,1862
source,1862
name,1862
version,1862
date_modifi,1862
completenes,1862
source_url,1385
raw.source,1571
type,291
services,0
physical_ad,0
phone,113
mobile,0
email,0
url,2
activities,1466
beds,0
ancillary_s,0
tags,1
scope_of_se,0
nature_of_f,0
ownership,0
staff,0
defining_ho,0
notes,0
inpatient_s,0
raw_source,0
what3words,1862
source.1,1862
note,0
family_prac,0
emergency_p,0
heliport,0
contact,0
servicios_d,0
fracturas_a,0
traslados_d,0
service,0
geometry,1862
