Date,Cases
2014-03-20,NA
2014-03-21,0
2014-03-22,NA
2014-03-23,NA
2014-03-24,NA
2014-03-25,2
2014-03-26,NA
2014-03-27,NA
2014-03-28,NA
2014-03-29,NA
2014-03-30,NA
2014-03-31,NA
2014-04-01,NA
2014-04-02,NA
2014-04-03,NA
2014-04-04,NA
2014-04-05,NA
2014-04-06,NA
2014-04-07,NA
2014-04-08,NA
2014-04-09,NA
2014-04-10,NA
2014-04-11,NA
2014-04-12,NA
2014-04-13,NA
2014-04-14,NA
2014-04-15,NA
2014-04-16,NA
2014-04-17,NA
2014-04-18,NA
2014-04-19,NA
2014-04-20,NA
2014-04-21,NA
2014-04-22,NA
2014-04-23,NA
2014-04-24,NA
2014-04-25,NA
2014-04-26,NA
2014-04-27,NA
2014-04-28,NA
2014-04-29,NA
2014-04-30,NA
2014-05-01,NA
2014-05-02,NA
2014-05-03,NA
2014-05-04,NA
2014-05-05,NA
2014-05-06,NA
2014-05-07,NA
2014-05-08,NA
2014-05-09,NA
2014-05-10,NA
2014-05-11,NA
2014-05-12,NA
2014-05-13,NA
2014-05-14,NA
2014-05-15,NA
2014-05-16,NA
2014-05-17,NA
2014-05-18,NA
2014-05-19,NA
2014-05-20,NA
2014-05-21,NA
2014-05-22,NA
2014-05-23,NA
2014-05-24,NA
2014-05-25,NA
2014-05-26,NA
2014-05-27,NA
2014-05-28,16
2014-05-29,16
2014-05-30,NA
2014-05-31,NA
2014-06-01,NA
2014-06-02,NA
2014-06-03,NA
2014-06-04,79
2014-06-05,NA
2014-06-06,81
2014-06-07,NA
2014-06-08,NA
2014-06-09,81
2014-06-10,NA
2014-06-11,NA
2014-06-12,NA
2014-06-13,NA
2014-06-14,NA
2014-06-15,NA
2014-06-16,NA
2014-06-17,NA
2014-06-18,NA
2014-06-19,103
2014-06-20,NA
2014-06-21,NA
2014-06-22,136
2014-06-23,NA
2014-06-24,158
2014-06-25,160.5
2014-06-26,176
2014-06-27,176
