Date,district,0.025,0.5,0.975,bin_from,maxdate
2015-08-27,BO,2,6,12,2015-W34,2015-10-01
2015-08-27,BOMBALI,2,6,12,2015-W34,2015-10-01
2015-08-27,BONTHE,2,6,11,2015-W34,2015-10-01
2015-08-27,KAILAHUN,2,6,12,2015-W34,2015-10-01
2015-08-27,KAMBIA,0,0,0,2015-W34,2015-10-01
2015-08-27,KENEMA,2,6,11,2015-W34,2015-10-01
2015-08-27,KOINADUGU,2,6,12,2015-W34,2015-10-01
2015-08-27,KONO,2,6,11,2015-W34,2015-10-01
2015-08-27,MOYAMBA,2,6,11,2015-W34,2015-10-01
2015-08-27,PORT.LOKO,0,2,5,2015-W34,2015-10-01
2015-08-27,PUJEHUN,2,6,12,2015-W34,2015-10-01
2015-08-27,TONKOLILI,2,6,11,2015-W34,2015-10-01
2015-08-27,WESTERN,0,2,6,2015-W34,2015-10-01
2015-09-03,BO,2,7,12,2015-W34,2015-10-01
2015-09-03,BOMBALI,3,7,12,2015-W34,2015-10-01
2015-09-03,BONTHE,2,7,12,2015-W34,2015-10-01
2015-09-03,KAILAHUN,2,7,12,2015-W34,2015-10-01
2015-09-03,KAMBIA,0,0,0,2015-W34,2015-10-01
2015-09-03,KENEMA,3,7,12,2015-W34,2015-10-01
2015-09-03,KOINADUGU,3,7,12,2015-W34,2015-10-01
2015-09-03,KONO,3,7,12,2015-W34,2015-10-01
2015-09-03,MOYAMBA,3,7,12,2015-W34,2015-10-01
2015-09-03,PORT.LOKO,0,2,6,2015-W34,2015-10-01
2015-09-03,PUJEHUN,2.9750000000000014,7,12,2015-W34,2015-10-01
2015-09-03,TONKOLILI,2,6,12,2015-W34,2015-10-01
2015-09-03,WESTERN,0,3,6,2015-W34,2015-10-01
2015-09-10,BO,2.9750000000000014,7,12,2015-W34,2015-10-01
2015-09-10,BOMBALI,2,7,12,2015-W34,2015-10-01
2015-09-10,BONTHE,2,7,12,2015-W34,2015-10-01
2015-09-10,KAILAHUN,2,7,13,2015-W34,2015-10-01
2015-09-10,KAMBIA,0,0,0,2015-W34,2015-10-01
2015-09-10,KENEMA,2,7,12,2015-W34,2015-10-01
2015-09-10,KOINADUGU,3,7,12,2015-W34,2015-10-01
2015-09-10,KONO,3,7,12,2015-W34,2015-10-01
2015-09-10,MOYAMBA,2,7,12,2015-W34,2015-10-01
2015-09-10,PORT.LOKO,0,2,5.024999999999977,2015-W34,2015-10-01
2015-09-10,PUJEHUN,2,7,12,2015-W34,2015-10-01
2015-09-10,TONKOLILI,2,6,11,2015-W34,2015-10-01
2015-09-10,WESTERN,0,3,6,2015-W34,2015-10-01
2015-09-17,BO,2,6,11,2015-W34,2015-10-01
2015-09-17,BOMBALI,2,6,11,2015-W34,2015-10-01
2015-09-17,BONTHE,2,6,11,2015-W34,2015-10-01
2015-09-17,KAILAHUN,2,6,11,2015-W34,2015-10-01
2015-09-17,KAMBIA,0,0,0,2015-W34,2015-10-01
2015-09-17,KENEMA,2,6,11,2015-W34,2015-10-01
2015-09-17,KOINADUGU,2,6,11,2015-W34,2015-10-01
2015-09-17,KONO,2,6,11,2015-W34,2015-10-01
2015-09-17,MOYAMBA,2,6,11,2015-W34,2015-10-01
2015-09-17,PORT.LOKO,0,2,5,2015-W34,2015-10-01
2015-09-17,PUJEHUN,2,6,11,2015-W34,2015-10-01
2015-09-17,TONKOLILI,2,6,10,2015-W34,2015-10-01
2015-09-17,WESTERN,0,2,6,2015-W34,2015-10-01
2015-09-24,BO,3,8,14,2015-W34,2015-10-01
2015-09-24,BOMBALI,4,8,14,2015-W34,2015-10-01
2015-09-24,BONTHE,3,8,14,2015-W34,2015-10-01
2015-09-24,KAILAHUN,3,8,14,2015-W34,2015-10-01
2015-09-24,KAMBIA,0,0,0,2015-W34,2015-10-01
2015-09-24,KENEMA,3,8,14,2015-W34,2015-10-01
2015-09-24,KOINADUGU,3,8,14,2015-W34,2015-10-01
2015-09-24,KONO,3,8,14,2015-W34,2015-10-01
2015-09-24,MOYAMBA,3,8,14,2015-W34,2015-10-01
2015-09-24,PORT.LOKO,0,3,6,2015-W34,2015-10-01
2015-09-24,PUJEHUN,3,8,13.024999999999977,2015-W34,2015-10-01
2015-09-24,TONKOLILI,3,8,13,2015-W34,2015-10-01
2015-09-24,WESTERN,0,3,7,2015-W34,2015-10-01
2015-10-01,BO,0,3,7,2015-W34,2015-10-01
2015-10-01,BOMBALI,0,3,7,2015-W34,2015-10-01
2015-10-01,BONTHE,0,3,7,2015-W34,2015-10-01
2015-10-01,KAILAHUN,0,3,7,2015-W34,2015-10-01
2015-10-01,KAMBIA,0,0,0,2015-W34,2015-10-01
2015-10-01,KENEMA,0,3,7,2015-W34,2015-10-01
2015-10-01,KOINADUGU,0,3,7,2015-W34,2015-10-01
2015-10-01,KONO,0,3,7,2015-W34,2015-10-01
2015-10-01,MOYAMBA,0,3,7,2015-W34,2015-10-01
2015-10-01,PORT.LOKO,0,1,3,2015-W34,2015-10-01
2015-10-01,PUJEHUN,0,3,7,2015-W34,2015-10-01
2015-10-01,TONKOLILI,0,3,7,2015-W34,2015-10-01
2015-10-01,WESTERN,0,1,4,2015-W34,2015-10-01
